City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather,Country,Date
467,Moose Factory,51.26,-80.61,24.8,85,90,2.24,overcast clouds,CA,2020-11-29 16:38:46
468,Southampton,50.9,-1.4,46.99,93,75,4.7,broken clouds,GB,2020-11-29 16:43:40
469,Jacqueville,5.21,-4.41,84.2,79,20,9.17,few clouds,CI,2020-11-29 16:48:24
470,Broome,42.25,-75.83,46.99,61,0,4.0,clear sky,US,2020-11-29 16:48:25
471,Brigantine,39.41,-74.36,52.0,40,1,6.93,clear sky,US,2020-11-29 16:46:47
472,Dwarka,22.24,68.97,77.61,57,0,9.46,clear sky,IN,2020-11-29 16:48:25
473,Umtata,-31.59,28.78,62.6,77,75,5.82,broken clouds,ZA,2020-11-29 16:48:25
474,Port Maria,18.37,-76.89,87.01,76,1,8.99,clear sky,JM,2020-11-29 16:48:25
475,Pampa,35.54,-100.96,41.0,86,90,24.16,overcast clouds,US,2020-11-29 16:48:25
476,Tokur,53.13,132.9,-14.89,89,55,1.1,broken clouds,RU,2020-11-29 16:48:25
477,Aklavik,68.22,-135.01,-4.0,83,100,2.24,overcast clouds,CA,2020-11-29 16:48:25
478,Beckum,51.75,8.03,32.0,73,12,1.01,few clouds,DE,2020-11-29 16:48:25
479,Kapit,2.02,112.93,73.85,95,100,1.72,light rain,MY,2020-11-29 16:38:46
480,Valparaiso,-33.04,-71.63,80.6,30,0,16.11,clear sky,CL,2020-11-29 16:38:46
481,Yazman,29.12,71.74,68.77,22,0,6.29,clear sky,PK,2020-11-29 16:48:26
482,High Rock,26.62,-78.28,78.8,61,75,6.93,broken clouds,BS,2020-11-29 16:48:26
483,Half Moon Bay,37.46,-122.43,46.4,65,1,4.7,clear sky,US,2020-11-29 16:48:26
484,Kashi,39.45,75.98,28.4,79,20,4.47,few clouds,CN,2020-11-29 16:48:26
485,Dzilam Gonzalez,21.28,-88.93,83.34,58,1,5.75,clear sky,MX,2020-11-29 16:48:26
